"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Collection Agency","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Filtration Date","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"Y","L001","0095","","05-MAR-1973 15:15","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0095","","05-MAR-1973 15:15","SAMP","G","2.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".076","0.076","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0112","","10-APR-1973 08:45","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".042","0.042","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0112","","10-APR-1973 08:45","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".003","0.003","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0113","","10-APR-1973 08:55","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".059","0.059","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0113","","10-APR-1973 08:55","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".004","0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0130","","08-MAY-1973 10:30","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0130","","08-MAY-1973 10:30","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".125","0.125","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0131","","08-MAY-1973 10:40","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".002","0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0131","","08-MAY-1973 10:40","SAMP","G","2.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".075","0.075","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0160","","04-JUN-1973 15:45","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".004","0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0160","","04-JUN-1973 15:45","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".14","0.140","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0161","","04-JUN-1973 15:55","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".004","0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0161","","04-JUN-1973 15:55","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".11","0.110","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0179","","09-JUL-1973 10:20","SAMP","G","2.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".047","0.047","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0179","","09-JUL-1973 10:20","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0178","","09-JUL-1973 10:25","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0178","","09-JUL-1973 10:25","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".05","0.050","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0197","","09-AUG-1973 00:00","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".014","0.014","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0197","","09-AUG-1973 00:00","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".085","0.085","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0196","","09-AUG-1973 10:00","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".017","0.017","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0196","","09-AUG-1973 10:00","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".081","0.081","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0613","","11-SEP-1973 10:45","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".079","0.079","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0614","","11-SEP-1973 10:45","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".052","0.052","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0614","","11-SEP-1973 10:45","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".014","0.014","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0613","","11-SEP-1973 10:45","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".016","0.016","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0632","","10-OCT-1973 11:00","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0631","","10-OCT-1973 11:00","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0631","","10-OCT-1973 11:00","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".054","0.054","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0632","","10-OCT-1973 11:00","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".057","0.057","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0789","","15-NOV-1973 00:00","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".045","0.045","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0789","","15-NOV-1973 00:00","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".007","0.007","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0786","","15-NOV-1973 10:35","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".008","0.008","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0786","","15-NOV-1973 10:35","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".046","0.046","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0852","","20-DEC-1973 11:10","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".046","0.046","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0853","","20-DEC-1973 11:10","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".032","0.032","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0852","","20-DEC-1973 11:10","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".002","0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0853","","20-DEC-1973 11:10","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0960","","16-JAN-1974 09:50","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".027","0.027","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0959","","16-JAN-1974 09:50","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".036","0.036","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0959","","16-JAN-1974 09:50","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".003","0.003","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0960","","16-JAN-1974 09:50","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0941","","06-FEB-1974 00:00","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".05","0.050","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0942","","06-FEB-1974 00:00","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".074","0.074","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0942","","06-FEB-1974 00:00","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0941","","06-FEB-1974 00:00","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0977","","21-FEB-1974 09:20","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".024","0.024","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0978","","21-FEB-1974 09:20","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".075","0.075","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0977","","21-FEB-1974 09:20","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0978","","21-FEB-1974 09:20","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1038","","06-MAR-1974 08:50","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1037","","06-MAR-1974 08:50","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1037","","06-MAR-1974 08:50","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".073","0.073","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1038","","06-MAR-1974 08:50","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".078","0.078","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1055","","20-MAR-1974 09:20","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".06","0.060","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1055","","20-MAR-1974 09:20","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1056","","20-MAR-1974 09:20","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".002","0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1056","","20-MAR-1974 09:20","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".063","0.063","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1072","","03-APR-1974 12:55","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".045","0.045","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1071","","03-APR-1974 12:55","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".047","0.047","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1072","","03-APR-1974 12:55","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".002","0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1071","","03-APR-1974 12:55","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".003","0.003","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1094","","19-APR-1974 08:40","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".06","0.060","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1095","","19-APR-1974 08:40","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".003","0.003","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1095","","19-APR-1974 08:40","SAMP","G","2.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".057","0.057","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1094","","19-APR-1974 08:40","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1255","","08-MAY-1974 14:50","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1254","","08-MAY-1974 14:50","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".002","0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1254","","08-MAY-1974 14:50","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".031","0.031","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1255","","08-MAY-1974 14:50","SAMP","G","2.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".027","0.027","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1167","","04-JUN-1974 10:45","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1166","","04-JUN-1974 10:45","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1166","","04-JUN-1974 10:45","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".049","0.049","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1167","","04-JUN-1974 10:45","SAMP","G","2.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".068","0.068","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1183","","18-JUN-1974 09:35","SAMP","G","2.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1182","","18-JUN-1974 09:35","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1182","","18-JUN-1974 09:35","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".041","0.041","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1183","","18-JUN-1974 09:35","SAMP","G","2.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".03","0.030","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1203","","09-JUL-1974 11:45","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".144","0.144","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1204","","09-JUL-1974 11:45","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".246","0.246","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1203","","09-JUL-1974 11:45","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".099","0.099","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1204","","09-JUL-1974 11:45","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".094","0.094","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1219","","23-JUL-1974 09:25","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".038","0.038","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1220","","23-JUL-1974 09:25","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".043","0.043","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1219","","23-JUL-1974 09:25","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".107","0.107","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1220","","23-JUL-1974 09:25","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".128","0.128","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1338","","07-AUG-1974 11:30","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".141","0.141","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1338","","07-AUG-1974 11:30","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".01","0.010","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1339","","07-AUG-1974 11:30","SAMP","G","4.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".108","0.108","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1339","","07-AUG-1974 11:30","SAMP","G","4.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".005","0.005","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1327","","21-AUG-1974 12:30","SAMP","G","3.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".061","0.061","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1326","","21-AUG-1974 12:30","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".029","0.029","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1327","","21-AUG-1974 12:30","SAMP","G","3.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".022","0.022","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1326","","21-AUG-1974 12:30","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".063","0.063","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"M","L001","0081","","28-AUG-1974 13:15","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".004","0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"M","L001","0081","","28-AUG-1974 13:15","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","","-.002","-0.002","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"M","L001","0081","","28-AUG-1974 13:15","SAMP","G","0.00","","SW","26","PHOSPHATE, DISSOLVED AS P","","","",".03","0.030","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1364","","11-SEP-1974 15:45","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".042","0.042","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1364","","11-SEP-1974 15:45","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".006","0.006","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1365","","11-SEP-1974 15:45","SAMP","G","4.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".004","0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1365","","11-SEP-1974 15:45","SAMP","G","4.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".045","0.045","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1388","","25-SEP-1974 09:15","SAMP","G","4.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".007","0.007","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1387","","25-SEP-1974 09:15","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".004","0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1387","","25-SEP-1974 09:15","SAMP","G","0.00","","SW","25","PHOSPHATE, TOTAL AS P","","","",".042","0.042","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
