"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Collection Agency","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Filtration Date","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"Y","L001","1071","","03-APR-1974 12:55","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".015","0.015","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1072","","03-APR-1974 12:55","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".014","0.014","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1094","","19-APR-1974 08:40","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1095","","19-APR-1974 08:40","SAMP","G","2.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1254","","08-MAY-1974 14:50","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1255","","08-MAY-1974 14:50","SAMP","G","2.00","","SW","78","NITRATE-N","","","",".005","0.005","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1166","","04-JUN-1974 10:45","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1167","","04-JUN-1974 10:45","SAMP","G","2.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1182","","18-JUN-1974 09:35","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1183","","18-JUN-1974 09:35","SAMP","G","2.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1203","","09-JUL-1974 11:45","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".015","0.015","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1204","","09-JUL-1974 11:45","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".031","0.031","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1219","","23-JUL-1974 09:25","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".018","0.018","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1220","","23-JUL-1974 09:25","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".023","0.023","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1338","","07-AUG-1974 11:30","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1339","","07-AUG-1974 11:30","SAMP","G","4.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1326","","21-AUG-1974 12:30","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".101","0.101","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1327","","21-AUG-1974 12:30","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".051","0.051","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1364","","11-SEP-1974 15:45","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1365","","11-SEP-1974 15:45","SAMP","G","4.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1387","","25-SEP-1974 09:15","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1388","","25-SEP-1974 09:15","SAMP","G","4.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1412","","15-OCT-1974 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".202","0.202","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1413","","15-OCT-1974 00:00","SAMP","G","4.00","","SW","78","NITRATE-N","","","",".227","0.227","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1468","","06-NOV-1974 11:40","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".38","0.380","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1469","","06-NOV-1974 11:40","SAMP","G","4.00","","SW","78","NITRATE-N","","","",".195","0.195","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1545","","11-DEC-1974 14:30","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".012","0.012","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1588","","30-DEC-1974 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".071","0.071","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1633","","17-JAN-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".057","0.057","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1617","","24-JAN-1975 12:15","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".196","0.196","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1618","","24-JAN-1975 12:15","SAMP","G","4.00","","SW","78","NITRATE-N","","","",".328","0.328","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1673","","04-FEB-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".014","0.014","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1719","","22-FEB-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".004","0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1704","","25-FEB-1975 00:00","SAMP","G","3.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1703","","25-FEB-1975 15:15","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1749","","12-MAR-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".129","0.129","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1780","","30-MAR-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1813","","03-APR-1975 10:20","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1814","","03-APR-1975 10:20","SAMP","G","2.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1830","","17-APR-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".005","0.005","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1862","","05-MAY-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".008","0.008","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1885","","08-MAY-1975 09:50","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".016","0.016","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1911","","23-MAY-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".012","0.012","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1944","","06-JUN-1975 15:25","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","1960","","10-JUN-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2004","","28-JUN-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2080","","11-JUL-1975 10:40","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".016","0.016","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2057","","16-JUL-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".041","0.041","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2120","","21-AUG-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","3058","","29-AUG-1975 16:00","SAMP","G","0.20","","BAL","78","NITRATE-N","","","",".338","0.338","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","6","","0","0","2","MON","3","",""
"Y","L001","3053","","29-AUG-1975 16:20","SAMP","G","0.50","","BAL","78","NITRATE-N","","","",".292","0.292","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","6","","0","0","2","MON","3","",""
"Y","L001","3054","","29-AUG-1975 16:20","SAMP","G","0.00","","BAL","78","NITRATE-N","","","",".249","0.249","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","6","","0","0","2","MON","3","",""
"Y","L001","3052","","29-AUG-1975 16:20","SAMP","G","1.00","","BAL","78","NITRATE-N","","","",".496","0.496","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","6","","0","0","2","MON","3","",""
"Y","L001","2159","","08-SEP-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".029","0.029","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2182","","26-SEP-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2228","","03-OCT-1975 09:15","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".046","0.046","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2205","","05-OCT-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".007","0.007","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2244","","23-OCT-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".035","0.035","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2267","","10-NOV-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2290","","18-NOV-1975 09:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".207","0.207","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2322","","16-DEC-1975 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".313","0.313","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2306","","17-DEC-1975 09:05","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".426","0.426","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","0361","","21-JAN-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".31","0.310","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2407","","01-MAR-1976 09:20","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".176","0.176","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2423","","15-MAR-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".176","0.176","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2446","","20-APR-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".059","0.059","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","1","MON","3","",""
"Y","L001","2524","","08-MAY-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".218","0.218","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","1","MON","3","",""
"Y","L001","2476","","12-MAY-1976 09:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".1","0.100","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","1","MON","3","",""
"Y","L001","2547","","26-MAY-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".23","0.230","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","1","MON","3","",""
"Y","L001","2570","","13-JUN-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".01","0.010","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2641","","01-JUL-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","1","MON","3","",""
"Y","L001","2664","","06-AUG-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".023","0.023","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2687","","24-AUG-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","1","MON","3","",""
"Y","L001","2710","","01-SEP-1976 08:30","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".073","0.073","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","1","MON","3","",""
"Y","L001","2758","","11-SEP-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2781","","29-SEP-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2804","","17-OCT-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2875","","04-NOV-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".175","0.175","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","2","MON","3","",""
"Y","L001","2898","","22-NOV-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".225","0.225","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2921","","09-DEC-1976 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".275","0.275","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2987","","23-FEB-1977 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".371","0.371","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","2988","","23-FEB-1977 00:00","SAMP","G","3.00","","SW","78","NITRATE-N","","","",".159","0.159","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","3027","","15-MAR-1977 00:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","",".276","0.276","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","0","MON","3","",""
"Y","L001","3036","","15-MAR-1977 00:00","SAMP","G","2.00","","BAL","78","NITRATE-N","","","",".321","0.321","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","6","","0","0","0","MON","3","",""
"Y","L001","3090","","15-JUN-1977 13:30","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","2","MON","3","",""
"Y","L001","3091","","15-JUN-1977 13:30","SAMP","G","2.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","2","MON","3","",""
"Y","L001","3139","","17-AUG-1977 11:00","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","3","MON","3","",""
"Y","L001","3140","","17-AUG-1977 11:00","SAMP","G","2.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","3","MON","3","",""
"Y","L001","3157","","13-SEP-1977 12:32","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","2","MON","3","",""
"Y","L001","3158","","13-SEP-1977 12:32","SAMP","G","2.50","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","2","MON","3","",""
"Y","L001","3175","","11-OCT-1977 13:40","SAMP","G","0.00","","SW","78","NITRATE-N","","","","-.004","-0.004","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","0","","0","0","1","MON","3","",""
